uf;ano;area;producao;produtividade;safra;custo_total;custo_fixo;custo_variavel;total_renda_fatores;preco_reais;produtividade_sc_ha;faturamento_ha;lucro_bruto_ha;roi_percent;margem_lucro_percent;faturamento_total;lucro_total;classificacao_roi
BA;2021;1893,2;7279,4;3845,0;202122;3900,57;731,96;2976,18;192,43;170,07;64,08333333333333;10898,652499999998;6998,082499999999;179,41179109719857;64,21052969621704;20633328,913;13248769,788999997;Excelente
BA;2022;1919,7;7815,1;4071,0;202223;7819,54;963,37;5958,19;897,98;188,89;67,85;12816,186499999998;4996,646499999998;63,8994940878875;38,98699897976671;24603233,224049997;9592062,286049996;Excelente
BA;2023;1979,2;7574,4;3827,0;202324;9481,13;1001,54;5743,13;2736,46;150,7;63,78333333333333;9612,148333333333;131,01833333333343;1,381885211291623;1,3630494327577491;19024363,981333334;259311,48533333352;Baixa
BA;2024;2135,6;8845,7;4142,0;202425;7952,42;999,86;4616,12;2336,44;133,88;69,03333333333333;9242,182666666666;1289,7626666666656;16,21849281937656;13,955173936546291;19737605,30293333;2754417,150933331;Baixa
GO;2008;2307,2;6836,2;2963,0;200809;1416,09045059011;143,80264;1057,06781059011;215,22;48,39;49,38333333333333;2389,6595;973,5690494098901;68,75048475923177;40,7409109712028;5513422,3984;2246218,5107984985;Excelente
GO;2009;2549,5;7342,6;2880,0;200910;1533,15976623859;153,38434;1163,27542623859;216,5;48,09;48,0;2308,32;775,1602337614102;50,55965143562082;33,58114272550644;5885061,840000001;1976271,0159747151;Boa
GO;2010;2605,6;8181,6;3140,0;201011;1485,86;171,67;1035,35;278,84;42,08;52,333333333333336;2202,1866666666665;716,3266666666666;48,20956662583733;32,52797219733113;5738017,578666666;1866460,7626666664;Boa
GO;2011;2644,7;8251,5;3120,0;201112;1595,97;148,19;1040,52;407,26;49,04;52,0;2550,08;954,1099999999999;59,782452051103704;37,41490463044296;6744196,575999999;2523334,7169999997;Boa
GO;2012;2888,0;8562,9;2965,0;201213;1813,67;153,33;1177,66;482,68;68,73;49,416666666666664;3396,4075000000003;1582,7375000000002;87,26711584797677;46,600341684559346;9808824,860000001;4570945,9;Excelente
GO;2013;3101,7;8994,93;2900,0;201314;1741,93;120,88;1214,4;406,65;69,01;48,333333333333336;3335,4833333333336;1593,5533333333335;91,48205343115588;47,775784618920795;10345668,655;4942724,374;Excelente
GO;2014;3325,0;8625,05;2594,0;201415;1883,03;129,3;1521,68;232,05;67,25;43,233333333333334;2907,4416666666666;1024,4116666666666;54,4023019636791;35,234126222079546;9667243,541666666;3406168,7916666665;Boa
GO;2015;3285,1;10249,512;3120,0;201516;2264,07;141,58;1791,04;331,45;72,65;52,0;3777,8;1513,73;66,85879853538097;40,06908782889512;12410450,78;4972754,4229999995;Excelente
GO;2016;3278,5;11110,8365;3389,0;201617;2338,13;148,64;1831,89;357,6;81,5;56,483333333333334;4603,391666666666;2265,2616666666663;96,88347810714829;49,20853645953074;15092219,579166666;7426660,374166666;Excelente
GO;2017;3386,7;12222,6003;3609,0;201718;2367,74;148,38;1834,37;384,99;71,3;60,15;4288,695;1920,955;81,13031836265807;44,79113110165214;14524523,356499998;6505698,2985;Excelente
GO;2018;3476,4;12097,9;3480,0;201819;2600,97;149,29;2052,41;399,27;84,43;58,0;4896,9400000000005;2295,9700000000007;88,27360561636624;46,88581032236459;17023722,216000002;7981710,108000003;Excelente
GO;2019;3957,0;14688,4;3712,0;201920;2842,73;196,32;2265,65;380,76;82,17;61,86666666666667;5083,584;2240,854;78,82753550284409;44,08020011078798;20115741,888;8867059,277999999;Excelente
GO;2020;4299,0;15785,9;3672,0;202021;3118,21;210,03;2494,9;413,28;121,23;61,2;7419,276000000001;4301,066000000001;137,9338145923463;57,97150557547665;31895467,524000004;18490282,734000005;Excelente
GO;2021;4393,6;17684,2;4025,0;202122;3099,82;273,51;2703,88;122,43;170,07;67,08333333333333;11408,8625;8309,0425;268,0491931789588;72,82971900134653;50125978,28;36506609,128;Excelente
GO;2022;4547,4;17925,9;3942,0;202223;5516,08;316,92;4799,62;399,54;188,89;65,7;12410,073;6893,993;124,97993140055983;55,55159103415427;56433565,9602;31349743,7682;Excelente
GO;2023;4833,9;16855,8;3487,0;202324;6492,1;1126,96;4384,47;980,67;150,7;58,11666666666667;8758,181666666665;2266,081666666665;34,905218136915096;25,87388287789568;42336174,35849999;10954012,168499991;Média
GO;2024;4954,7;20725,5;4183,0;202425;5311,2;919,36;3580,04;811,8;133,88;69,71666666666667;9333,667333333333;4022,467333333333;75,73556509514485;43,096322053046535;46245521,536466666;19930118,896466665;Excelente
MA;2008;387,4;975,1;2517,0;200809;1954,58195879227;202,125492083333;1639,69646670894;112,76;48,39;41,95;2029,9605000000001;75,37854120773022;3,856504500548362;3,7133008848068827;786406,6977;29201,64686387469;Baixa
MA;2009;502,1;1330,6;2650,0;200910;1664,59666676566;223,136429166667;1328,000237599;113,46;48,09;44,166666666666664;2123,975;459,37833323433983;27,59697543591264;21,628236360330977;1066447,8475;230653,86111696204;Média
MA;2010;518,2;1599,7;3087,0;201011;1396,21;195,88;1066,75;133,58;42,08;51,45;2165,016;768,806;55,063779803897695;35,51040731338706;1121911,2912;398395,26920000004;Boa
MA;2011;559,7;1650,6;2949,0;201112;1448,72;163,53;1075,11;210,08;49,04;49,15;2410,316;961,5959999999998;66,37555911425257;39,89501791466347;1349053,8652;538205,2812;Excelente
MA;2012;586,0;1685,9;2877,0;201213;1552,81;163,56;1142,0;247,25;68,73;47,95;3295,6035;1742,7935000000002;112,23481945634046;52,88237799237682;1931223,651;1021276,9910000002;Excelente
MA;2013;662,2;1856,8088;2804,0;201314;2027,07220878478;480,76;1356,11220878478;190,2;69,01;46,733333333333334;3225,067333333334;1197,9951245485538;59,09977549673704;37,1463600826697;2135639,5881333337;793312,3714760523;Boa
MA;2014;749,6;2099,6296;2801,0;201415;2134,16;453,74;1471,84;208,58;67,25;46,68333333333333;3139,4541666666664;1005,2941666666666;47,10491090952256;32,021304127973416;2353334,8433333333;753568,5073333333;Boa
MA;2015;786,3;1250,217;1590,0;201516;2929,14;550,05;2051,21;327,88;72,65;26,5;1925,2250000000001;-1003,9149999999997;-34,27337034078261;-52,1453336622992;1513804,4175;-789378,3644999998;Prejuízo
MA;2016;821,7;2473,317;3010,0;201617;2706,41;522,72;1858,43;325,26;81,5;50,166666666666664;4088,583333333333;1382,1733333333332;51,07036012035624;33,8056784134684;3359588,925;1135731,828;Boa
MA;2017;951,5;3025,77;3180,0;201718;2725,83;521,01;1845,12;359,7;71,3;53,0;3778,8999999999996;1053,0699999999997;38,63300352553166;27,867104183757174;3595623,3499999996;1001996,1049999997;Média
MA;2018;992,4;2992,1;3015,0;201819;2717,7;536,88;1854,4;326,42;84,43;50,25;4242,6075;1524,9075000000003;56,11022187879458;35,94269561820178;4210363,683;1513318,2030000002;Boa
MA;2019;976,4;3130,3;3206,0;201920;3066,52;743,73;2152,04;170,75;82,17;53,43333333333333;4390,617;1324,0970000000002;43,17914117631714;30,157424343776746;4286998,4388;1292848,3108;Boa
MA;2020;1005,7;3285,6;3267,0;202021;3483,01;797,87;2428,63;256,51;121,23;54,45;6600,973500000001;3117,9635000000007;89,51922331546565;47,23490406377181;6638599,048950002;3135735,891950001;Excelente
MA;2021;1075,1;3522,0;3276,0;202122;4471,14;1093,61;3232,57;144,96;170,07;54,6;9285,822;4814,682;107,68354379420013;51,849820080548604;9983187,232199999;5176264,618199999;Excelente
MA;2022;1192,7;4250,8;3564,0;202223;7591,97;1527,65;5601,27;463,05;188,89;59,4;11220,065999999999;3628,0959999999986;47,78859768940075;32,33578126902283;13382172,7182;4327230,099199998;Boa
MA;2023;1329,7;4322,9;3251,0;202324;7995,4;1501,22;5499,78;994,4;150,7;54,18333333333333;8165,428333333332;170,02833333333274;2,1265769484119965;2,0822953358029523;10857570,054833332;226086,67483333254;Baixa
MA;2024;1436,1;4858,3;3383,0;202425;5357,63;1291,15;3194,89;871,59;133,88;56,38333333333333;7548,600666666666;2190,970666666666;40,89440044696379;29,024858558773936;10840545,417399999;3146452,9743999992;Boa
MG;2008;929,1;2751,1;2961,0;200809;1954,1;232,38;1350,6;371,12;48,39;49,35;2388,0465;433,9465;22,206975078041044;18,17161014243232;2218734,00315;403179,69315;Média
MG;2009;1019,0;2871,5;2818,0;200910;1809,05;253,33;1172,04;383,68;48,09;46,96666666666667;2258,6270000000004;449,57700000000045;24,851551919515792;19,904880265754386;2301540,9130000006;458118,96300000045;Média
MG;2010;1024,1;2913,6;2845,0;201011;1696,48;298,11;1049,72;348,65;42,08;47,416666666666664;1995,293333333333;298,81333333333305;17,613725675123376;14,975909974807367;2043379,9026666663;306014,73466666637;Baixa
MG;2011;1024,0;3058,7;2987,0;201112;1916,54;292,86;1149,77;473,91;49,04;49,78333333333333;2441,3746666666666;524,8346666666666;27,384488018338605;21,497506049870264;2499967,6586666666;537430,6986666666;Média
MG;2012;1121,2;3374,8;3010,0;201213;2100,19;322,75;1217,26;560,18;68,73;50,166666666666664;3447,955;1347,7649999999999;64,17347954232712;39,08882221490709;3865847,146;1511114,118;Excelente
MG;2013;1238,2;3345,6164;2702,0;201314;2053,47;279,13;1290,79;483,55;69,01;45,03333333333333;3107,7503333333334;1054,2803333333336;51,34140422471882;33,92422879100864;3848016,4627333335;1305409,9087333337;Boa
MG;2014;1319,4;3524,1174;2671,0;201415;2436,02;250,97;1894,59;290,46;67,25;44,516666666666666;2993,7458333333334;557,7258333333334;22,894961179848007;18,62969885831435;3949948,2525000004;735863,4645000001;Média
MG;2015;1469,3;4747,3083;3231,0;201516;2664,18;259,93;2059,23;345,02;72,65;53,85;3912,2025000000003;1248,0225000000005;46,844526270747494;31,900764339269255;5748199,13325;1833719,4592500008;Boa
MG;2016;1456,1;5067,228;3480,0;201617;2711,33;260,92;2082,33;368,08;81,5;58,0;4727,0;2015,67;74,34248136523404;42,64163317114449;6882984,699999999;2935017,087;Excelente
MG;2017;1508,5;5747,385;3810,0;201718;2924,97;343,84;2118,78;462,35;71,3;63,5;4527,55;1602,5800000000004;54,78962177389855;35,39618557497985;6829809,175;2417491,9300000006;Boa
MG;2018;1574,9;5386,2;3420,0;201819;3002,13;365,1;2147,38;489,65;84,43;57,0;4812,51;1810,38;60,30318473883543;37,61820754658172;7579221,999000001;2851167,4620000003;Excelente
MG;2019;1647,3;6172,4;3747,0;201920;3104,81;371,58;2356,52;376,71;82,17;62,45;5131,516500000001;2026,7065000000007;65,27634541244072;39,495273960436464;8453147,130450001;3338593,617450001;Excelente
MG;2020;1899,3;7021,7;3697,0;202021;3199,01;366,51;2454,53;377,97;121,23;61,61666666666667;7469,788500000001;4270,7785;133,50313065604672;57,17402172765668;14187369,298050001;8111489,60505;Excelente
MG;2021;1982,9;7616,3;3841,0;202122;4116,39;753,19;3260,93;102,27;170,07;64,01666666666667;10887,314499999999;6770,924499999998;164,48695337419431;62,19095168050853;21588455,92205;13426066,191049997;Excelente
MG;2022;2171,3;8396,4;3867,0;202223;6880,93;1055,2;5498,58;327,15;188,89;64,45;12173,9605;5293,030499999999;76,92318480205435;43,478295333716574;26433320,433650002;11492757,124649998;Excelente
MG;2023;2251,6;7702,7;3421,0;202324;5935,99;980,93;4290,63;664,43;150,7;57,016666666666666;8592,411666666665;2656,4216666666653;44,751114248283194;30,915903121494598;19346674,108666662;5981199,024666663;Boa
MG;2024;2316,9;9186,5;3965,0;202425;6100,36;1022,36;4405,92;672,08;133,88;66,08333333333333;8847,236666666666;2746,876666666666;45,02810763080648;31,047848838676934;20498162,632999998;6364238,548999999;Boa
MS;2008;1715,8;4179,7;2436,0;200809;1571,24806438368;122,964754;1235,72331038368;212,56;48,39;40,6;1964,634;393,38593561632;25,036526347010973;20,02337003311151;3370919,0172;674971,5883304819;Média
MS;2009;1712,2;5307,8;3100,0;200910;1620,69869813849;147,342666666667;1256,60603147182;216,75;48,09;51,666666666666664;2484,65;863,95130186151;53,30733608003951;34,77154938770089;4254217,73;1479257,4190472777;Boa
MS;2010;1760,1;5169,4;2937,0;201011;1528,03;234,24;1020,8;272,99;42,08;48,95;2059,8160000000003;531,7860000000003;34,802065404475066;25,817160367722174;3625482,1416;935996,5386000004;Média
MS;2011;1815,0;4628,3;2550,0;201112;1795,66;240,45;1118,52;436,69;49,04;42,5;2084,2;288,53999999999974;16,068743526057254;13,844160829095085;3782822,9999999995;523700,0999999995;Baixa
MS;2012;2017,0;5809,0;2880,0;201213;1975,08;253,2;1208,69;513,19;68,73;48,0;3299,04;1323,96;67,03323409684671;40,13167466899461;6654163,68;2670427,3200000003;Excelente
MS;2013;2120,0;6148,0;2900,0;201314;1865,75;232,29;1189,42;444,04;69,01;48,333333333333336;3335,4833333333336;1469,7333333333336;78,77439814194472;44,06357899155046;7071224,666666667;3115834,666666667;Excelente
