uf;safra;ano;area;producao;produtividade
BA;200708;2007;905,0;2747,6;3036,0
BA;200809;2008;947,5;2418,0;2552,0
BA;200910;2009;1016,5;3110,5;3060,0
BA;201011;2010;1043,9;3507,5;3360,0
BA;201112;2011;1112,8;3182,6;2860,0
BA;201213;2012;1281,9;2692,0;2100,0
BA;201314;2013;1312,7;3308,004;2520,0
BA;201415;2014;1422,0;4180,68;2940,0
BA;201516;2015;1526,9;3211,0707;2103,0
BA;201617;2016;1580,3;5123,3326;3242,0
BA;201718;2017;1599,3;6333,228;3960,0
BA;201819;2018;1580,1;5403,9;3420,0
BA;201920;2019;1620,0;6122,0;3779,0
BA;202021;2020;1701,0;6838,0;4020,0
BA;202122;2021;1893,2;7279,4;3845,0
BA;202223;2022;1919,7;7815,1;4071,0
BA;202324;2023;1979,2;7574,4;3827,0
BA;202425;2024;2135,6;8845,7;4142,0
GO;200708;2007;2179,7;6543,5;3002,0
GO;200809;2008;2307,2;6836,2;2963,0
GO;200910;2009;2549,5;7342,6;2880,0
GO;201011;2010;2605,6;8181,6;3140,0
GO;201112;2011;2644,7;8251,5;3120,0
GO;201213;2012;2888,0;8562,9;2965,0
GO;201314;2013;3101,7;8994,93;2900,0
GO;201415;2014;3325,0;8625,05;2594,0
GO;201516;2015;3285,1;10249,512;3120,0
GO;201617;2016;3278,5;11110,8365;3389,0
GO;201718;2017;3386,7;12222,600299999998;3609,0
GO;201819;2018;3476,4;12097,9;3480,0
GO;201920;2019;3957,0;14688,4;3712,0
GO;202021;2020;4299,0;15785,9;3672,0
GO;202122;2021;4393,6;17684,2;4025,0
GO;202223;2022;4547,4;17925,9;3942,0
GO;202324;2023;4833,9;16855,8;3487,0
GO;202425;2024;4954,7;20725,5;4183,0
MA;200708;2007;421,5;1262,8;2996,0
MA;200809;2008;387,4;975,1;2517,0
MA;200910;2009;502,1;1330,6;2650,0
MA;201011;2010;518,2;1599,7;3087,0
MA;201112;2011;559,7;1650,6;2949,0
