uf;ano;administrador_rs_ha;agrotoxicos_rs_ha;armazenagem;assistencia_tecnica_rs_ha;custo_fixo;custo_operacional;custo_total;custo_variavel;despesas_administrativas_rs_ha;fertilizantes_rs_ha;seguro_producao_rs_ha;sementes_rs_ha;total_depreciacoes_e_rs_ha;total_despesas_custeio;total_despesas_financeiras_c_rs_ha;total_outras_despesas_b_rs_ha;total_outros_custos_fixos_f_rs_ha;total_renda_fatores;transporte_externo_rs_ha;tratores_colheitadeiras_rs_ha
BA;2006;;212,25;11,6;13,8;80,57;902,67;1043,25;822,1;;267,0;26,91;40,5;48,08;690,01;56,74;75,35;32,49;140,58;23,04;
BA;2007;;203,53;11,6;14,94;92,37;967,83;1115,8;875,46;;306,63;29,13;52,2;55,8;745,83;50,92;78,71;36,57;147,97;23,04;
BA;2008;;190,96;14,06;17,86;106,51;1179,41;1335,38;1072,9;;438,74;34,84;78,75;64,52;893,24;81,22;98,44;41,99;155,97;31,68;
BA;2009;;181,44;16,67;16,31;107,27;1068,58;1223,9;961,31;;391,72;31,81;58,5;63,78;815,6;49,24;96,47;43,49;155,32;31,68;
BA;2010;;157,9;17,51;14,57;103,74;972,05;1127,76;868,31;;337,4;28,41;58,5;64,47;728,4;47,74;92,17;39,27;155,71;31,68;
BA;2011;27,24;149,65;79,52;15,44;250,13;1219,29;1630,41;969,16;38,61;387,59;30,12;54,0;213,01;772,19;33,28;163,69;37,12;411,12;0,0;148,31
BA;2012;31,12;139,4;81,51;17,13;272,67;1450,86;1944,97;1178,19;42,81;429,86;33,4;94,5;228,54;856,29;33,57;288,33;44,13;494,11;53,57;156,01
BA;2013;;437,84;;25,83;140,1225;1675,771754105056;2143,551754105056;1535,649254105056;34,82;617,26;;112,0;132,64;1291,59;30,42925410505604;213,63;7,4825;467,78;60,0;
BA;2014;12,24;476,24;85,9;26,88;219,63;1893,24;2494,68;1673,61;40,33;577,86;0,0;165,55;201,91;1344,17;46,32;283,12;17,72;601,44;60,0;106,27
BA;2015;12,24;510,06;69,31;26,32;222,24;1875,37;2641,0;1653,13;39,49;539,2;0,0;130,55;203,33;1316,18;59,89;277,06;18,91;765,63;60,0;118,12
BA;2016;13,16;531,31;68,15;28,2;231,48;1977,32;2811,77;1745,84;42,29;612,7;0,0;122,5;211,88;1409,81;64,37;271,66;19,6;834,45;60,0;123,78
BA;2017;12,24;545,4;67,82;27,49;236,03;1943,39;2844,72;1707,36;41,23;520,52;0,0;162,05;216,55;1374,32;66,01;267,03;19,48;901,33;60,0;123,19
BA;2018;24,52;551,71;86,28;29,51;263,1;2081,87;3141,53;1818,77;44,26;567,88;0,0;175,0;237,98;1475,48;66,25;277,04;25,12;1059,66;69,0;145,45
BA;2019;24,52;576,01;86,61;31,68;261,25;2192,63;2995,55;1931,38;47,52;648,98;0,0;175,0;236,77;1584,08;62,84;284,46;24,48;802,92;69,0;148,65
BA;2020;19,6;879,75;107,73;42,32;559,75;3109,06;3806,89;2549,31;63,49;781,24;0,0;223,82;377,82;2116,21;61,1;372,0;181,93;697,83;87,54;206,81
BA;2021;19,6;1052,14;121,13;49,16;731,96;3708,14;3900,57;2976,18;73,74;904,85;0,0;257,95;403,24;2458,01;48,72;469,45;328,72;192,43;87,54;217,48
